Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Constructor,"jsr166e.ConcurrentHashMapV8.ForEachMappingTask.ForEachMappingTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.ForEachMappingTask.compute",1,4,4,5
Constructor,"jsr166e.ConcurrentHashMapV8.ForEachTransformedEntryTask.ForEachTransformedEntryTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.ForEachTransformedEntryTask.compute",1,5,5,7
Constructor,"jsr166e.ConcurrentHashMapV8.ForEachTransformedKeyTask.ForEachTransformedKeyTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.ForEachTransformedKeyTask.compute",1,5,5,7
Constructor,"jsr166e.ConcurrentHashMapV8.ForEachTransformedMappingTask.ForEachTransformedMappingTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.ForEachTransformedMappingTask.compute",1,5,5,7
Constructor,"jsr166e.ConcurrentHashMapV8.ForEachTransformedValueTask.ForEachTransformedValueTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.ForEachTransformedValueTask.compute",1,5,5,7
Constructor,"jsr166e.ConcurrentHashMapV8.ForEachValueTask.ForEachValueTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.ForEachValueTask.compute",1,4,4,5
Constructor,"jsr166e.ConcurrentHashMapV8.ForwardingNode.ForwardingNode",1,1,1,1
Method,"jsr166e.ConcurrentHashMapV8.ForwardingNode.find",8,8,8,14
Abstract Method,"jsr166e.ConcurrentHashMapV8.Fun.apply",1,1,1,1
Abstract Method,"jsr166e.ConcurrentHashMapV8.IntByIntToInt.apply",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.KeyIterator.KeyIterator",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.KeyIterator.next",1,2,2,2
Public Method,"jsr166e.ConcurrentHashMapV8.KeyIterator.nextElement",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.KeySetView.KeySetView",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.KeySetView.add",1,2,2,2
Public Method,"jsr166e.ConcurrentHashMapV8.KeySetView.addAll",1,4,4,4
Public Method,"jsr166e.ConcurrentHashMapV8.KeySetView.contains",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.KeySetView.equals",1,1,1,4
Public Method,"jsr166e.ConcurrentHashMapV8.KeySetView.forEach",1,4,4,4
Public Method,"jsr166e.ConcurrentHashMapV8.KeySetView.getMappedValue",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.KeySetView.hashCode",1,2,2,2
Public Method,"jsr166e.ConcurrentHashMapV8.KeySetView.iterator",1,2,2,2
Public Method,"jsr166e.ConcurrentHashMapV8.KeySetView.remove",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.KeySetView.spliteratorJSR166",1,3,3,3
Constructor,"jsr166e.ConcurrentHashMapV8.KeySpliterator.KeySpliterator",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.KeySpliterator.estimateSize",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.KeySpliterator.forEachRemaining",1,3,3,3
Public Method,"jsr166e.ConcurrentHashMapV8.KeySpliterator.tryAdvance",1,3,3,3
